benchmark_type,name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_small_check_mean,lambdapi_small_check_min,lambdapi_small_check_q1,lambdapi_small_check_median,lambdapi_small_check_q3,lambdapi_small_check_max,lambdapi_large_check_count,lambdapi_large_check_results,lambdapi_large_check_mean,lambdapi_large_check_min,lambdapi_large_check_q1,lambdapi_large_check_median,lambdapi_large_check_q3,lambdapi_large_check_max,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
UF,20170428-Barrett,1585,1512 - 0 - 73,0.22,0.023,0.066,0.085,0.109,23.991,1513,1491 - 22 - 0,0.054,0.005,0.016,0.02,0.026,8.064,1419,1419 - 0 - 0,0.037,0.007,0.017,0.023,0.033,0.447,72,69 - 0 - 3,5.111,0.305,0.6,0.928,2.641,51.006,1419,1284 - 121 - 14,4.341,0.191,2.5,2.934,4.114,57.271,69,24 - 10 - 35,9.587,1.283,9.351,14.666,25.568,61.059,389.0,125.0,190.0,227.0,329.0,20323.0
UF,20190906-CLEARSY,16,8 - 8 - 0,0.034,0.019,0.026,0.032,0.045,0.052,16,8 - 8 - 0,0.016,0.007,0.009,0.015,0.019,0.036,8,8 - 0 - 0,0.033,0.021,0.022,0.03,0.038,0.065,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,8,0 - 8 - 0,0.163,0.157,0.158,0.162,0.167,0.176,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UF,grasshopper,376,361 - 0 - 15,0.516,0.02,0.039,0.053,0.118,22.157,361,351 - 10 - 0,0.059,0.007,0.014,0.023,0.045,2.921,301,301 - 0 - 0,0.068,0.008,0.023,0.039,0.083,0.341,50,50 - 0 - 0,2.589,0.276,0.503,0.859,1.86,57.303,301,18 - 283 - 0,0.451,0.181,0.213,0.251,0.292,11.0,50,0 - 34 - 16,2.996,0.625,1.111,1.866,4.107,34.273,225.0,102.0,114.0,143.0,302.0,837.0
UF,misc,14,14 - 0 - 0,0.036,0.026,0.03,0.036,0.04,0.049,14,14 - 0 - 0,0.021,0.007,0.012,0.018,0.026,0.069,14,14 - 0 - 0,0.061,0.006,0.016,0.03,0.049,0.409,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,14,0 - 13 - 1,0.152,0.153,0.158,0.164,0.167,0.187,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UF,sledgehammer,1403,1269 - 0 - 134,0.378,0.021,0.065,0.117,0.207,28.194,1274,1206 - 68 - 0,0.139,0.003,0.019,0.028,0.045,59.134,1106,1099 - 7 - 0,0.086,0.008,0.023,0.042,0.105,0.615,100,87 - 9 - 4,5.694,0.187,0.968,1.661,4.595,56.151,1099,959 - 117 - 23,7.177,0.24,2.428,4.12,8.249,59.524,87,36 - 22 - 29,13.835,0.963,7.659,12.014,36.189,61.636,684.0,113.0,208.0,355.0,759.0,20511.0
