logic,name,mean,min,q1,median,q3,max,acronym
TLAPS,Allocator,505.0,170.0,221.0,349.0,437.0,9463.0,ALL
TLAPS,EWD840,396.0,94.0,119.0,177.0,697.0,1230.0,EWD
TLAPS,Cantor,125.0,89.0,94.0,124.0,133.0,205.0,CAN
TLAPS,LamportMutex,849.0,102.0,117.0,269.0,1413.0,15003.0,LAM
TLAPS,BubbleSort,757.0,95.0,117.0,140.0,979.0,9185.0,BUB
TLAPS,Reachability,448.0,89.0,115.0,317.0,673.0,5665.0,REA
TLAPS,Boulanger,106.0,101.0,98.0,106.0,114.0,111.0,BOU
TLAPS,Bakery,103.0,99.0,96.0,103.0,109.0,107.0,BAK
