job_id,benchmark_type,benchmark_name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_large_check_count,lambdapi_large_check_results,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
39e2ff19-b452-4d17-84c3-ee120d684896,LIA,20190429-UltimateAutomizerSvcomp2019,27,27 - 0 - 0,84,41,53,72,88,0.19,27,27 - 0 - 0,96.0,26,44,72,105,296,13,0 - 13 - 0,3,18,22,31,34,48,14,0 - 14 - 0,94,47.0,52,66,116,206,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
300f843a-98db-4048-b9e9-da76dd19f6dd,LIA,psyco,50,49 - 0 - 1,1,36,8,197,716,13.0,50,49 - 1 - 0,2.5,19,78,326,1,38,12,12 - 0 - 0,151,62,92,138,222,257,37,36 - 0 - 1,11,0.31,785,3,13,6,12,0 - 12 - 0,36,0 - 36 - 0,0,0,0,0,0,0
fea23f67-805a-433a-89e1-c65adec3bab6,LIA,tptp,36,36 - 0 - 0,24,17,19,21,26,49.0,36,0 - 36 - 0,7.0,4,6,7,8,11,0,0 - 0 - 0,0,0,0,0,0,0,0,0 - 0 - 0,0,0.0,0,0,0,0,0,0 - 0 - 0,0,0 - 0 - 0,0,0,0,0,0,0
7c592d58-131b-4f86-ad91-c897a26ece6b,LIA,UltimateAutomizer,153,153 - 0 - 0,37,19,24,36,47,111.0,153,146 - 7 - 0,25.0,7,9,22,33,179,141,90 - 51 - 0,3,8,14,19,28,113,5,0 - 5 - 0,89,52.0,53,107,116,119,90,69 - 21 - 0,0,0 - 0 - 0,233,130,177,187,256,1044
