logic,name,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_small_check_mean,lambdapi_small_check_min,lambdapi_small_check_q1,lambdapi_small_check_median,lambdapi_small_check_q3,lambdapi_small_check_max,lambdapi_large_check_count,lambdapi_large_check_results,lambdapi_large_check_mean,lambdapi_large_check_min,lambdapi_large_check_q1,lambdapi_large_check_median,lambdapi_large_check_q3,lambdapi_large_check_max,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
UF,Allocator,38,38 - 0 - 0,0.061,0.013,0.019,0.06,0.097,0.119,38,38 - 0 - 0,0.019,0.006,0.01,0.015,0.02,0.065,34,34 - 0 - 0,0.033,0.006,0.015,0.026,0.044,0.098,4,4 - 0 - 0,0.476,0.339,0.36,0.481,0.588,0.603,31,31 - 0 - 0,4.796,2.455,2.868,4.799,6.24,8.849,4,4 - 0 - 0,7.482,5.521,5.724,7.377,9.345,9.653,505.0,170.0,221.0,349.0,437.0,9463.0
UFLIA,EWD840,20,19 - 0 - 1,0.049,0.019,0.022,0.034,0.072,0.164,19,19 - 0 - 0,0.017,0.007,0.012,0.016,0.023,0.031,19,19 - 0 - 0,0.053,0.007,0.013,0.016,0.077,0.198,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,15,15 - 0 - 0,5.239,1.332,1.636,2.381,9.157,16.095,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,94.0,119.0,177.0,697.0,1230.0
UF,Cantor,8,8 - 0 - 0,0.029,0.018,0.024,0.029,0.034,0.036,8,8 - 0 - 0,0.008,0.006,0.007,0.009,0.009,0.011,8,8 - 0 - 0,0.011,0.004,0.005,0.013,0.016,0.017,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,8,8 - 0 - 0,1.711,1.233,1.303,1.7,1.824,2.782,0,0 - 0 - 0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,89.0,94.0,124.0,133.0,205.0
UFLIA,Reachability,33,33 - 0 - 0,0.058,0.021,0.029,0.033,0.037,0.438,33,32 - 1 - 0,0.021,0.007,0.009,0.013,0.019,0.155,29,29 - 0 - 0,0.051,0.007,0.017,0.029,0.089,0.171,3,3 - 0 - 0,1.756,0.414,0.414,0.988,3.865,3.865,29,28 - 1 - 0,5.034,0.273,1.515,3.611,8.063,22.636,3,1 - 1 - 1,7.07,4.142,0.91,10.605,20.3,17.068,448.0,89.0,115.0,317.0,673.0,5665.0
UFLIA,BubbleSort,15,14 - 0 - 1,0.309,0.019,0.024,0.03,0.053,4.028,14,13 - 1 - 0,0.04,0.006,0.01,0.015,0.026,0.286,11,11 - 0 - 0,0.062,0.01,0.014,0.017,0.039,0.325,2,2 - 0 - 0,7.475,1.404,-1.631,7.475,16.581,13.546,11,11 - 0 - 0,5.181,0.243,1.318,1.658,2.211,40.774,2,1 - 0 - 1,13.817,27.634,27.634,27.634,27.634,27.634,757.0,95.0,117.0,140.0,979.0,9185.0
UFLIA,Bakery,13,13 - 0 - 0,1.104,0.029,0.06,0.486,2.301,3.33,13,3 - 10 - 0,0.018,0.006,0.014,0.018,0.021,0.034,2,2 - 0 - 0,0.008,0.006,0.005,0.008,0.011,0.01,1,1 - 0 - 0,0.318,0.318,0.318,0.318,0.318,0.318,2,2 - 0 - 0,1.448,1.391,1.363,1.448,1.533,1.505,1,0 - 0 - 1,0.0,0.0,0.0,0.0,0.0,0.0,103.0,99.0,96.0,103.0,109.0,107.0
UFLIA,Boulanger,13,13 - 0 - 0,3.686,0.025,0.084,2.127,6.854,16.189,13,3 - 10 - 0,0.016,0.006,0.009,0.014,0.022,0.035,2,2 - 0 - 0,0.012,0.012,0.012,0.012,0.012,0.012,1,1 - 0 - 0,0.316,0.316,0.316,0.316,0.316,0.316,2,2 - 0 - 0,1.467,1.392,1.354,1.467,1.581,1.543,1,0 - 0 - 1,0.0,0.0,0.0,0.0,0.0,0.0,106.0,101.0,98.0,106.0,114.0,111.0
UFLIA,LamportMutex,225,201 - 0 - 24,0.255,0.019,0.029,0.045,0.075,28.694,201,186 - 14 - 1,0.073,0.006,0.009,0.017,0.038,6.832,137,137 - 0 - 0,0.069,0.006,0.014,0.026,0.107,0.322,50,47 - 0 - 3,1.439,0.209,0.43,0.619,2.082,7.377,137,109 - 27 - 1,5.041,0.184,1.462,1.704,5.653,50.087,47,25 - 16 - 6,13.63,0.615,3.475,9.14,25.012,48.836,849.0,102.0,117.0,269.0,1413.0,15003.0
