job_id,logic,name,acronym,cvc5_count,cvc5_results,cvc5_mean,cvc5_min,cvc5_q1,cvc5_median,cvc5_q3,cvc5_max,elaboration_count,elaboration_results,elaboration_mean,elaboration_min,elaboration_q1,elaboration_median,elaboration_q3,elaboration_max,translate_small_count,translate_small_results,translate_small_mean,translate_small_min,translate_small_q1,translate_small_median,translate_small_q3,translate_small_max,translate_large_count,translate_large_results,translate_large_mean,translate_large_min,translate_large_q1,translate_large_median,translate_large_q3,translate_large_max,lambdapi_small_check_count,lambdapi_small_check_results,lambdapi_small_check_mean,lambdapi_small_check_min,lambdapi_small_check_q1,lambdapi_small_check_median,lambdapi_small_check_q3,lambdapi_small_check_max,lambdapi_large_check_count,lambdapi_large_check_results,lambdapi_large_check_mean,lambdapi_large_check_min,lambdapi_large_check_q1,lambdapi_large_check_median,lambdapi_large_check_q3,lambdapi_large_check_max,weighted_mean_time,min_lp,q1_lp,median_lp,q3_lp,max_lp
594a6c70-0f4c-4d27-8829-7c33ad1f72b5,QF\_LIA,CIRC,CIR,33,8 - 0 - 25,1.814,0.164,0.291,2.197,14.772,31.013,12,8 - 4 - 0,9.194,0.008,0.012,0.71,9.008,53.243,0,0,0.0,0.0,0.0,0.0,0.0,0.0,8,0 - 8 - 0,7.969,0.167,0.468,2.82,17.248,29.968,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2cfb9519-d24b-44b0-ad72-fdbbceaebbc9,QF\_LIA,bofill-scheduling,BOF,245,245 - 0 - 0,0.997,0.369,0.758,0.786,0.818,22.552,245,245 - 0 - 0,0.821,0.072,0.516,0.702,0.73,43.578,11,11 - 0 - 0,1.964,1.824,1.831,1.848,2.144,2.267,234,233 - 0 - 1,20.442,3.046,11.937,24.294,25.645,53.249,11,0 - 5 - 6,8.82,11.43,11.619,12.361,30.711,34.738,233,0 - 24 - 209,6.35,2.846,60.332,66.358,71.712,90.416,0.0,0.0,0.0,0.0,0.0,0.0
463d557c-8f1a-4dc4-a1e1-8029f78604fd,QF\_LIA,calypto,CAL,13,7 - 0 - 6,1.081,0.404,0.404,3.187,3.211,3.232,13,7 - 6 - 0,2.956,0.009,0.013,0.832,8.928,8.989,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,0 - 7 - 0,16.815,1.791,1.847,28.034,28.056,28.069,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71e4e6e0-9a7a-472a-ba2a-6c97c23b426a,QF\_LIA,check,CHK,4,4 - 0 - 0,0.038,0.029,0.029,0.03,0.054,0.062,4,4 - 0 - 0,0.017,0.007,0.007,0.008,0.037,0.046,4,0 - 4 - 0,0.015,0.008,0.008,0.008,0.03,0.038,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8671a2e1-64b2-405a-b249-615b1208bb77,QF\_LIA,convert,CON,39,39 - 0 - 0,1.342,0.035,0.266,1.247,1.367,18.263,39,39 - 0 - 0,3.821,0.023,0.585,3.786,3.893,51.337,1,1 - 0 - 0,0.157,0.157,0.157,0.157,0.157,0.157,38,15 - 0 - 23,19.194,41.822,45.141,49.699,53.444,56.789,1,1 - 0 - 0,7.097,7.097,7.097,7.097,7.097,7.097,15,0 - 6 - 9,10.976,17.017,25.235,29.125,30.4,31.291,539.0,539.0,539.0,539.0,539.0,539.0
22ae1ae1-41b3-469b-ab4a-f275202d8689,QF\_LIA,cut\_lemmas,CUT,93,68 - 0 - 25,2.872,0.025,0.063,0.536,5.154,30.08,71,68 - 3 - 0,3.158,0.006,0.039,0.555,5.094,18.641,24,4 - 20 - 0,0.039,0.013,0.021,0.034,0.052,0.118,44,0 - 44 - 0,3.06,0.08,0.419,1.879,5.425,11.454,4,0 - 4 - 0,0.268,0.253,0.256,0.269,0.279,0.28,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11b47b38-5887-42a9-9152-2644f5764a3b,QF\_LIA,dillig,DIL,3,3 - 0 - 0,3.365,0.197,0.197,0.5,9.398,9.398,3,3 - 0 - 0,3.339,0.184,0.184,0.45,9.383,9.383,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0 - 3 - 0,1.979,0.138,0.138,0.302,5.498,5.498,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1f39ae4d-ab76-4fe6-9f09-f4d7f5ebcc84,QF\_LIA,fft,FFT,4,1 - 0 - 3,3.676,14.703,14.703,14.703,14.703,14.703,2,1 - 1 - 0,17.557,0.026,0.026,17.557,35.087,35.087,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0 - 0 - 1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77ba3605-878f-4fb6-92ac-9fe1cd9bf8fe,QF\_LIA,mathsat,MAT,100,81 - 0 - 19,5.569,0.052,0.947,3.651,11.192,30.53,93,59 - 34 - 0,5.846,0.019,0.208,1.314,9.175,30.307,0,0,0.0,0.0,0.0,0.0,0.0,0.0,59,10 - 0 - 49,3.441,0.906,5.743,16.047,30.684,58.109,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10,3 - 4 - 3,19.431,2.774,4.473,34.639,37.517,60.093,12539.0,6097.0,6097.0,11520.0,19999.0,19999.0
1764bd62-be4e-489c-8355-c353b3c9ed2a,QF\_LIA,nec-smt,NEC,1524,0 - 0 - 1524,0.0,0.0,0.0,0.0,0.0,0.0,72,0 - 72 - 0,0.223,0.013,0.065,0.213,0.324,0.934,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8575ae8-a468-42e1-9ed8-6cdceff18d22,QF\_LIA,pb2010,PB2,40,22 - 0 - 18,1.799,0.454,2.022,2.896,3.822,9.197,22,22 - 0 - 0,0.354,0.069,0.224,0.311,0.407,0.926,22,20 - 2 - 0,0.256,0.05,0.156,0.232,0.31,0.548,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20,20,12.576,4.631,8.546,12.369,16.368,21.533,0,0,0.0,0.0,0.0,0.0,0.0,0.0,960.0,348.0,650.0,943.0,1252.0,1645.0
